"assignment_id";"created";"changed";"assignment_title";"student";"Role";"uai_el";"activity_id";"teacher";"uai_teach";"mathadata_id";"mathadata_title"
"3353193";"1712175133";"1712175133";"Intro à l'IA : classification de chiffres 2 et 7 (modif S.V.)";"f29ef2306686ee8d37dc64cd2be35a82";"teacher";"0590110Z";"3350935";"f29ef2306686ee8d37dc64cd2be35a82";"0590110Z";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3525403";"1714998910";"1715003540";"Intro à l'IA : classification de chiffres 2 et 7 (modif S.V.)";"40366ee55a1e8fd6ec6a60b6466f263b";"student";"0590110Z";"3350935";"f29ef2306686ee8d37dc64cd2be35a82";"0590110Z";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3525408";"1714998921";"1715001495";"Intro à l'IA : classification de chiffres 2 et 7 (modif S.V.)";"f020de9a00497a9f6779e5a86d262421";"student";"0590110Z";"3350935";"f29ef2306686ee8d37dc64cd2be35a82";"0590110Z";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3525427";"1714998950";"1715001523";"Intro à l'IA : classification de chiffres 2 et 7 (modif S.V.)";"a65daee001ad4079610f8737c2317359";"student";"0590110Z";"3350935";"f29ef2306686ee8d37dc64cd2be35a82";"0590110Z";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3525469";"1714999031";"1715003559";"Intro à l'IA : classification de chiffres 2 et 7 (modif S.V.)";"4388451a2880ab4c94a1272571937f6a";"student";"0590110Z";"3350935";"f29ef2306686ee8d37dc64cd2be35a82";"0590110Z";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3354501";"1712212757";"1712212757";"TNSI - IA : Chiffres 2 et 7";"5a539663a50ceb3ef3a4b815c04162a1";"student";"0951723G";"3353328";"1d3066af6e7e3abefb481f89651e3b42";"0951723G";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3354533";"1712212831";"1712215526";"TNSI - IA : Chiffres 2 et 7";"63ca0fdd571a720aba043be65691cf99";"student";"0951723G";"3353328";"1d3066af6e7e3abefb481f89651e3b42";"0951723G";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3460499";"1713516437";"1713518057";"Copie de Intro à l'IA : classification de chiffres 2 et 7";"ed695169ee0bf77296b66a11979925eb";"student";"0370035M";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3497643";"1714463842";"1715583865";"Intro à l'IA : classification de chiffres 2 et 7";"e7724d6b1889360d5ae83b7d041509ec";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3518690";"1714937360";"1715585320";"Intro à l'IA : classification de chiffres 2 et 7";"1bedba9c25b2c05793a5702f1c69ac45";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3547526";"1715581352";"1715587099";"Intro à l'IA : classification de chiffres 2 et 7";"08e92cb631ef97fe3a45073aaabb2634";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3547600";"1715581532";"1715585117";"Intro à l'IA : classification de chiffres 2 et 7";"220008743f440b556be9f87cc7cf6782";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3547607";"1715581547";"1715586939";"Intro à l'IA : classification de chiffres 2 et 7";"761bf01e72e97933d7bcad1c28184f8d";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3547617";"1715581586";"1715584502";"Intro à l'IA : classification de chiffres 2 et 7";"d3955a0b0902a67ee4fd24b7f0fbc5a5";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3547631";"1715581617";"1715587144";"Intro à l'IA : classification de chiffres 2 et 7";"54ff47dcdda5f252cddd937edc006568";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3547658";"1715581654";"1715587089";"Intro à l'IA : classification de chiffres 2 et 7";"0f62a67c813bbe94d2910b2885ab984f";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3547727";"1715581848";"1715581848";"Intro à l'IA : classification de chiffres 2 et 7";"1d2b301ac6d54c8f5d3ec297a8e64ea4";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3547728";"1715581857";"1715587090";"Intro à l'IA : classification de chiffres 2 et 7";"83ad4097730688f58c68d4a4ab412542";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3547817";"1715582151";"1715586388";"Intro à l'IA : classification de chiffres 2 et 7";"62379102bd28b77ec7094dae7ac0757e";"student";"0180005H";"3430022";"2dbf95b5c5289b340cd53d7d7dd016ec";"0180005H";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439372";"1713259727";"1714999286";"Intro à l'IA : classification de chiffres 2 et 7";"2626ffc923e0fbe3607eabe807cbe001";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439374";"1713259732";"1715069638";"Intro à l'IA : classification de chiffres 2 et 7";"84119593ae536c260263c07f147ca34c";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439375";"1713259735";"1715069587";"Intro à l'IA : classification de chiffres 2 et 7";"fb919f75850fcb9bd1b492f8c1734d1e";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439377";"1713259739";"1715073128";"Intro à l'IA : classification de chiffres 2 et 7";"efe6e4f2d09a34d1bd36d7ac423fb097";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439382";"1713259748";"1714999808";"Intro à l'IA : classification de chiffres 2 et 7";"6e767d64983f55f36c2f59c8e361776a";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439385";"1713259777";"1715069714";"Intro à l'IA : classification de chiffres 2 et 7";"dfb35e0678252675cdfd3e4f7cc45806";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439386";"1713259778";"1715070762";"Intro à l'IA : classification de chiffres 2 et 7";"48d4c3fd610e88afd707bf74b1eb5664";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439391";"1713259798";"1715069640";"Intro à l'IA : classification de chiffres 2 et 7";"07e83330e632e894a0265d0dad69514a";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439404";"1713259840";"1713261177";"Intro à l'IA : classification de chiffres 2 et 7";"fa218d74a92817394d78962875c828a7";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439449";"1713260033";"1714999809";"Intro à l'IA : classification de chiffres 2 et 7";"3dcc4ac8260b44ea50b3cb3d3a8f92b6";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439469";"1713260099";"1715070380";"Intro à l'IA : classification de chiffres 2 et 7";"b23d1cd397465661e433118548e243fa";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3439485";"1713260138";"1715069562";"Intro à l'IA : classification de chiffres 2 et 7";"cbad65cae5977d9c2e8855cfcb7f7d20";"student";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3525316";"1714998663";"1714999821";"Intro à l'IA : classification de chiffres 2 et 7";"13ab292915288fa2636f26c869f66e98";"teacher";"0800010B";"3438895";"13ab292915288fa2636f26c869f66e98";"0800010B";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3518238";"1714928575";"1714928575";"Copie de Intro à l'IA : classification de chiffres 2 et 7";"8260c7ce5505123686211e199cbea73a";"teacher";"0750711R";"3485800";"8260c7ce5505123686211e199cbea73a";"0750711R";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3518786";"1714938921";"1714938921";"Copie de Intro à l'IA : classification de chiffres 2 et 7";"5e437cedcb4de562e154e090b42ae200";"teacher";NULL;"3485800";"8260c7ce5505123686211e199cbea73a";"0750711R";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3501734";"1714493618";"1714493618";"Copie de Intro à l'IA : classification de chiffres 2 et 7";"21278babe2d47009e94cc926bccd426a";"teacher";"0382203N";"3501728";"21278babe2d47009e94cc926bccd426a";"0382203N";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3551203";"1715591773";"1715594681";"Intro à l'IA : classification de chiffres 2 et 7";"7f41d520ff0c536b55eb08f61014a878";"student";NULL;"3545851";"36672a3f8febb14d9ce8fde7d994e16c";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3680646";"1717053580";"1717055713";"Intro à l'IA : classification de chiffres 2 et 7";"2419b9dc2aa15bd1efadeed440a28aad";"student";"0080804F";"3546791";"54ed85e7af8edc78637654cb4a89040e";"0080804F";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3680650";"1717053584";"1717053584";"Intro à l'IA : classification de chiffres 2 et 7";"b2b9541f385cc25d79f63eeafc49931a";"student";"0080804F";"3546791";"54ed85e7af8edc78637654cb4a89040e";"0080804F";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3680662";"1717053610";"1717059908";"Intro à l'IA : classification de chiffres 2 et 7";"3db12a6f56ade6060c7d77efc875bcdb";"student";"0080804F";"3546791";"54ed85e7af8edc78637654cb4a89040e";"0080804F";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3680675";"1717053648";"1717491295";"Intro à l'IA : classification de chiffres 2 et 7";"47da6f7c35303fb4bb6d3cab03c3ce20";"student";"0080804F";"3546791";"54ed85e7af8edc78637654cb4a89040e";"0080804F";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3680705";"1717053748";"1717491872";"Intro à l'IA : classification de chiffres 2 et 7";"85af95ba4a2c59f792ce65c3a0a46c68";"student";"0080804F";"3546791";"54ed85e7af8edc78637654cb4a89040e";"0080804F";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3680712";"1717053764";"1717491868";"Intro à l'IA : classification de chiffres 2 et 7";"fdc725afa14378ffe24d5a514d816a2d";"student";"0080804F";"3546791";"54ed85e7af8edc78637654cb4a89040e";"0080804F";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3680726";"1717053810";"1717491810";"Intro à l'IA : classification de chiffres 2 et 7";"1fac9b3fbfa0864371af1af5c38c31c7";"student";"0080804F";"3546791";"54ed85e7af8edc78637654cb4a89040e";"0080804F";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
