nom,uai,type_etablissement,commune,academie,departement,secteur,ips,latitude,longitude
Collège des Cygnes,0800037F,college,Longpré-les-Corps-Saints,Amiens,Somme,Public,88.7,50.012973134352634,1.9931327750057315
Collège Joliot-Curie,0800038G,college,Longueau,Amiens,Somme,Public,108.4,49.87226508669408,2.354433659994108
Collège Joliot-Curie,0800039H,college,Mers-les-Bains,Amiens,Somme,Public,88.4,50.06890219661251,1.3933297588633509
Collège Charles Bignon,0800045P,college,Oisemont,Amiens,Somme,Public,94.5,49.95596479157621,1.770385286519071
Lycée général et technologique privé Sacré-Coeur,0801207C,lycee,Amiens,Amiens,Somme,Privé,126.3,49.893159267847466,2.3051056035735886
Collège privé Notre-Dame,0801222U,college,Flixecourt,Amiens,Somme,Privé,108.6,50.01470288183649,2.0787201300422233
Collège privé Notre-Dame,0801224W,college,Ham,Amiens,Somme,Privé,102.8,49.74969320899154,3.07313266425866
Lycée général et technologique privé Sacré-Coeur,0801226Y,lycee,Péronne,Amiens,Somme,Privé,113.7,49.92657395937277,2.9345297033739115
Collège privé Jeanne d'Arc,0801227Z,college,Roye,Amiens,Somme,Privé,112.4,49.69640722088911,2.7923246201359464
Collège privé Notre-Dame,0801228A,college,Rue,Amiens,Somme,Privé,101.2,50.27194668459396,1.6695362483312308
Lycée professionnel agricole de la Baie-de-Somme,0801335S,lycee,Abbeville,Amiens,Somme,Public,,50.11111560598712,1.8428653802034651
Collège Les Coudriers,0801339W,college,Villers-Bocage,Amiens,Somme,Public,111.1,49.99122265977609,2.314450841961874
Collège Gaston Vasseur,0801371F,college,Feuquières-en-Vimeu,Amiens,Somme,Public,91.4,50.05892184922313,1.5889303933264287
Collège Jules Verne,0801373H,college,Rivery,Amiens,Somme,Public,96.4,49.90424531712562,2.32472366614414
Lycée professionnel Pierre Mendes France - Lycée des métiers de la maintenance et de la logistique,0801514L,lycee,Péronne,Amiens,Somme,Public,78.2,49.93541386504129,2.94137255283811
Lycée agricole privé Sainte-Colette de Corbie,0801613U,lycee,Corbie,Amiens,Somme,Privé,,49.90969288771521,2.5102721813217426
"Lycée professionnel du Marquenterre - Lycée des métiers du tourisme, de la restauration et de la maintenance",0801739F,lycee,Rue,Amiens,Somme,Public,85.2,50.26874644340526,1.6746446524720404
Lycée polyvalent Jean Racine - Lycée des métiers,0801853E,lycee,Montdidier,Amiens,Somme,Public,90.6,49.6533451018881,2.581964191374314
Lycée polyvalent du Vimeu - Lycée des métiers de l'industrie et du tertiaire,0801864S,lycee,Friville-Escarbotin,Amiens,Somme,Public,89.6,50.083159979426284,1.5475263149585603
Lycée d'enseignement général et technologique privé Saint Martin,0801888T,lycee,Amiens,Amiens,Somme,Privé,117.9,49.88416229931024,2.2947864444922095
Lycée polyvalent de l'Authie - Lycée des métiers,0801900F,lycee,Doullens,Amiens,Somme,Public,88.4,50.14951170295078,2.3556124987819347
Micro-lycée de l'académie d'amiens,0802140S,lycee,Amiens,Amiens,Somme,Public,,49.91214643033441,2.3223208784614786
Ecole du second degré privée hors contrat Ecole Terrade à Amiens,0802207P,lycee,Amiens,Amiens,Somme,Privé,,49.88933300126198,2.3104750440980046
Lycée polyvalent Jean Jaurès,0810012Y,lycee,Carmaux,Toulouse,Tarn,Public,98.6,44.0490784350248,2.1407696279771007
Lycée général et technologique Maréchal Soult,0810033W,lycee,Mazamet,Toulouse,Tarn,Public,102.3,43.502068133026235,2.379824539766149
Collège Honoré de Balzac,0810052S,college,Albi,Toulouse,Tarn,Public,107.1,43.925443622295745,2.1495906071920903
Collège Marcel Pagnol,0810127Y,college,Mazamet,Toulouse,Tarn,Public,90.5,43.492410330657265,2.369037459980548
Collège Thomas Pesquet,0810961E,college,Castres,Toulouse,Tarn,Public,81.8,43.58103798657234,2.260001559565921
Collège privé Saint-Joseph de L'Apparition,0811065T,college,Gaillac,Toulouse,Tarn,Privé,119.2,43.89915903496471,1.8987023563009209
Lycée technologique privé De La Salle Castres,0811175M,lycee,Castres,Toulouse,Tarn,Privé,121.1,43.60746782040836,2.23697476438325
Lycée professionnel Marie-Antoinette Riess,0811324Z,lycee,Mazamet,Toulouse,Tarn,Public,88.4,43.502068133026235,2.379824539766149
Collège Pierre Darasse,0820007M,college,Caussade,Toulouse,Tarn-et-Garonne,Public,94.4,44.1558878222251,1.5352901605249025
Collège du Pays de Serres,0820014V,college,Lauzerte,Toulouse,Tarn-et-Garonne,Public,99,44.25502308431757,1.139280416188965
Collège Ingres,0820022D,college,Montauban,Toulouse,Tarn-et-Garonne,Public,91.4,44.01276775448423,1.3597659728321525
Collège Jean Rostand,0820029L,college,Valence,Toulouse,Tarn-et-Garonne,Public,93.6,44.10804416095615,0.8902297140844091
Lycée agricole privé Clair Foyer de Caussade,0820725T,lycee,Caussade,Toulouse,Tarn-et-Garonne,Privé,,44.14640362839207,1.524586391460875
Collège privé La Sainte Famille Jeanne d'Arc,0820753Y,college,Moissac,Toulouse,Tarn-et-Garonne,Privé,104.9,44.103404054938075,1.083754287307087
Collège Jean Honoré Fragonard,0820824A,college,Nègrepelisse,Toulouse,Tarn-et-Garonne,Public,98.7,44.0748798391342,1.5288739231451036
Lycée polyvalent Jean Baylet - Lycée des métiers du transport et de la logistique,0820899G,lycee,Valence,Toulouse,Tarn-et-Garonne,Public,94.6,44.113639379100285,0.8965694541799542
Lycée professionnel privé hors contrat Ambre Select,0820935W,lycee,Montauban,Toulouse,Tarn-et-Garonne,Privé,,44.01555644026805,1.3424379071424724
Lycée général et technologique Jean Aicard,0830025B,lycee,Hyères,Nice,Var,Public,105.5,43.1183869272029,6.126236055918523
Collège de Lorgues Thomas Edison,0830076G,college,Lorgues,Nice,Var,Public,104.1,43.4932939123377,6.3569093510238295
Lycée général privé Fénelon,0830099G,lycee,Toulon,Nice,Var,Privé,137.4,43.10993122263308,5.95285715402557
Lycée général et technologique privé Notre Dame,0830100H,lycee,Toulon,Nice,Var,Privé,115.1,43.12784740813291,5.956125560995429
Collège privé Don Bosco,0830106P,college,Saint-Cyr-sur-Mer,Nice,Var,Privé,143.8,43.160970836399876,5.709969198234552
Collège privé Notre-Dame des Missions,0830111V,college,Toulon,Nice,Var,Privé,132.8,43.13164591728433,5.950798224350838
Collège Gustave Roux,0830145G,college,Hyères,Nice,Var,Public,103.6,43.10942828018654,6.140054686404161
Collège privé Institution Saint Joseph,0830147J,college,La Crau,Nice,Var,Privé,109.8,43.1957468330222,6.10315665889947
Collège Alphonse Daudet,0830182X,college,La Valette-du-Var,Nice,Var,Public,109.6,43.139524606959455,5.979608788243801
Lycée professionnel Claret - Lycée des métiers de la relation client et des services aux entreprises,0830661T,lycee,Toulon,Nice,Var,Public,80.5,43.13404377292562,5.9255742790366615
Collège Condorcet,0360028K,college,Levroux,Orléans-Tours,Indre,Public,99.2,46.97522323233284,1.6098304780832537
Collège Paul Eluard,0830830B,college,La Seyne-sur-Mer,Nice,Var,Public,91.5,43.10438903753902,5.8743836249819
Collège Vallée du Gapeau,0830831C,college,Solliès-Pont,Nice,Var,Public,109.6,43.18624936808618,6.041107402378615
Collège Irène et Frédéric Joliot-Curie,0830836H,college,Carqueiranne,Nice,Var,Public,116.9,43.09279378450591,6.073316526897296
Collège Voltaire,0830954L,college,Toulon,Nice,Var,Public,81.9,43.12474589799971,5.953626133500685
