uai,nom,type_etab,secteur,academie,departement,commune,ips,lat,lon,n_profs,n_profs_taught,n_profs_tested_only,n_eleves,n_eleves_uniq,n_sessions,n_tests,sy_set
0750655E,Lycée général et technologique publique Louis Le Grand,lycee,Public,Paris,Paris,Paris  5e  Arrondissement,145.1,48.84801821932347,2.344176457952448,1,1,0,63,63,8,0,2024-2025|2025-2026
0750662M,Lycée général Victor Duruy,lycee,Public,Paris,Paris,Paris  7e  Arrondissement,143.3,48.85230029234186,2.3148477839827657,1,1,0,44,44,8,7,2023-2024|2024-2025|2025-2026
0750663N,Lycée général et technologique Chaptal,lycee,Public,Paris,Paris,Paris  8e  Arrondissement,139.2,48.881738320109136,2.3196885071009623,1,0,1,0,0,0,1,2025-2026
0750664P,Lycée général et technologique Racine,lycee,Public,Paris,Paris,Paris  8e  Arrondissement,131.0,48.8764506501621,2.322300419725228,1,1,0,29,18,6,7,2025-2026
0750668U,Lycée général et technologisue Jacques Decour,lycee,Public,Paris,Paris,Paris  9e  Arrondissement,125.8,48.881485926285514,2.3434236459416136,1,1,0,5,5,5,0,2023-2024
0750673Z,Lycée général Colbert,lycee,Public,Paris,Paris,Paris 10e  Arrondissement,116.6,48.88270546564568,2.3634152185070483,2,2,0,48,48,3,2,2024-2025|2025-2026
0750676C,Lycée polyvalent Caroline Dorian,lycee,Public,Paris,Paris,Paris 11e  Arrondissement,103.1,48.85440198778214,2.392412630364061,1,0,1,0,0,0,1,2024-2025
0750680G,Lycée général et technologique Arago,lycee,Public,Paris,Paris,Paris 12e  Arrondissement,122.7,48.847927308794425,2.394315498648954,1,1,0,15,15,1,1,2025-2026
0750690T,Lycée général et technologique François Villon,lycee,Public,Paris,Paris,Paris 14e  Arrondissement,99.6,48.826222298748995,2.3058203184226214,1,1,0,2,2,2,0,2023-2024
0750693W,Lycée général et technologie Buffon,lycee,Public,Paris,Paris,Paris 15e  Arrondissement,132.7,48.843450595841645,2.3117184295922955,2,2,0,73,73,3,0,2025-2026
0750702F,Lycée général et technologique Jean de La Fontaine,lycee,Public,Paris,Paris,Paris 16e  Arrondissement,140.6,48.845190990860424,2.2565778962761875,1,1,0,31,31,1,0,2025-2026
0750703G,Lycée général Molière,lycee,Public,Paris,Paris,Paris 16e  Arrondissement,130.2,48.855000626527904,2.2721249445436613,2,1,1,22,22,1,2,2025-2026
0750711R,Lycée général et technologique Henri Bergson,lycee,Public,Paris,Paris,Paris 19e  Arrondissement,103.7,48.88112074883683,2.377938887612686,2,1,1,20,20,1,2,2023-2024|2024-2025
0750712S,Lycée polyvalent Diderot - Lycée des métiers de l'ingénierie industrielle et de l'horlogerie,lycee,Public,Paris,Paris,Paris 19e  Arrondissement,103.2,48.88151208852299,2.39587754134031,1,0,1,0,0,0,1,2025-2026
0750796H,Lycée Professionnel Octave Feuilet,lycee,Public,Paris,Paris,Paris 16e  Arrondissement,108.0,48.86126664977621,2.2724531358357214,1,1,0,14,14,2,2,2025-2026
0752182P,,,,,,,,,,1,0,1,0,0,0,1,2025-2026
0752248L,Collège César Franck,college,Public,Paris,Paris,Paris  2e  Arrondissement,130.4,48.86541881778827,2.3443295437046494,1,1,0,38,23,4,1,2025-2026
0754042L,Lycée polyvalent privé Le Rebours,lycee,Privé,Paris,Paris,Paris 13e  Arrondissement,131.3,48.83014424738715,2.3504442169888615,1,1,0,23,23,2,0,2024-2025
0762601P,Lycée polyvalent Georges Brassens,lycee,Public,Normandie,Seine-Maritime,Neufchâtel-en-Bray,95.8,49.73705794724505,1.437761868583037,1,1,0,55,32,2,1,2025-2026
0762976X,"Lycée polyvalent Françoise de Grace - Lycée des métiers E 3S, Environnement, Services, Santé, Social",lycee,Public,Normandie,Seine-Maritime,Le Havre,83.7,49.49280869089038,0.14954842620010605,1,1,0,8,8,1,0,2023-2024
0770930T,Lycée général et technologique Henri Moissan,lycee,Public,Créteil,Seine-et-Marne,Meaux,105.7,48.9587066334898,2.87505516661365,2,2,0,108,108,8,1,2025-2026
0771512A,Lycée général et technologique Van Dongen,lycee,Public,Créteil,Seine-et-Marne,Lagny-sur-Marne,114.0,48.86783583652336,2.719144935356008,2,2,0,17,17,2,2,2024-2025|2025-2026
0772243V,Lycée général et technologique Camille Claudel,lycee,Public,Créteil,Seine-et-Marne,Pontault-Combault,113.7,48.7874049161568,2.599490220817385,1,1,0,21,20,1,0,2024-2025
0780422K,Lycée général et technologique François Villon,lycee,Public,Versailles,Yvelines,Les Mureaux,101.8,48.97699910971362,1.922362889113734,2,2,0,66,66,5,0,2024-2025
0781859X,Lycée général et technologique Vincent Van Gogh,lycee,Public,Versailles,Yvelines,Aubergenville,120.5,48.95435672415239,1.8550869574308326,1,1,0,2,2,1,0,2024-2025
0781898P,Lycée général et technologique Charles de Gaulle,lycee,Public,Versailles,Yvelines,Poissy,126.0,48.946813146880004,2.0620244126996594,1,1,0,14,14,1,1,2025-2026
0781949V,Lycée général et technologique de Villaroy,lycee,Public,Versailles,Yvelines,Guyancourt,114.7,48.76464573649027,2.068147179051419,2,1,1,16,16,1,1,2025-2026
0782540M,Lycée polyvalent Jean Rostand,lycee,Public,Versailles,Yvelines,Mantes-la-Jolie,89.3,48.997956370212556,1.6966592625740586,1,1,0,6,6,1,0,2024-2025
0782568T,Lycée général et technologique Alain,lycee,Public,Versailles,Yvelines,Le Vésinet,143.7,48.890869828101486,2.1226130249115056,1,1,0,2,1,1,0,2024-2025
0791062A,Lycée général et technologique Venise Verte,lycee,Public,Poitiers,Deux-Sèvres,Niort,113.5,46.31686270488023,-0.48616871387734323,1,0,1,0,0,0,1,2025-2026
0800010B,Lycée général Madeleine Michelis,lycee,Public,Amiens,Somme,Amiens,117.4,49.88921414281806,2.302983194763526,1,1,0,12,12,1,1,2023-2024
0830025B,Lycée général et technologique Jean Aicard,lycee,Public,Nice,Var,Hyères,105.5,43.1183869272029,6.126236055918523,1,1,0,41,41,1,0,2025-2026
